"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"291" 603366.06292 647227.416639999 "1" "1" "Q" "1" "A1" "1Q1A1"
"292" 603356.24665 647225.508549999 "1" "1" "Q" "1" "A1" "1Q1A1"
"293" 603356.24665 647225.508549999 "2" "4" "Q" "1" "A1" "4Q1A1"
"294" 603366.06292 647227.416639999 "2" "4" "Q" "1" "A1" "4Q1A1"
"295" 603367.97101 647217.600369999 "2" "4" "Q" "1" "A1" "4Q1A1"
"296" 603358.15474 647215.692279999 "2" "4" "Q" "1" "A1" "4Q1A1"
"297" 603366.06292 647227.416639999 "3" "2" "Q" "1" "A1" "2Q1A1"
"298" 603375.87919 647229.32473 "3" "2" "Q" "1" "A1" "2Q1A1"
"299" 603373.9711 647239.141 "3" "2" "Q" "1" "A1" "2Q1A1"
"300" 603364.15483 647237.232909999 "3" "2" "Q" "1" "A1" "2Q1A1"
"301" 603367.97101 647217.600369999 "4" "3" "Q" "1" "A1" "3Q1A1"
"302" 603366.06292 647227.416639999 "4" "3" "Q" "1" "A1" "3Q1A1"
"303" 603375.87919 647229.32473 "4" "3" "Q" "1" "A1" "3Q1A1"
"304" 603377.78728 647219.508459999 "4" "3" "Q" "1" "A1" "3Q1A1"
"305" 603358.15474 647215.692279999 "1" "1" "X" "1" "A1" "1X1A1"
"306" 603360.06283 647205.87601 "1" "1" "X" "1" "A1" "1X1A1"
"307" 603369.8791 647207.784099999 "1" "1" "X" "1" "A1" "1X1A1"
"308" 603367.97101 647217.600369999 "1" "1" "X" "1" "A1" "1X1A1"
"309" 603367.97101 647217.600369999 "2" "4" "X" "1" "A1" "4X1A1"
"310" 603369.8791 647207.784099999 "2" "4" "X" "1" "A1" "4X1A1"
"311" 603379.69537 647209.692189999 "2" "4" "X" "1" "A1" "4X1A1"
"312" 603377.78728 647219.508459999 "2" "4" "X" "1" "A1" "4X1A1"
"313" 603360.06283 647205.87601 "3" "2" "X" "1" "A1" "2X1A1"
"314" 603369.8791 647207.784099999 "3" "2" "X" "1" "A1" "2X1A1"
"315" 603371.78719 647197.96783 "3" "2" "X" "1" "A1" "2X1A1"
"316" 603361.97092 647196.059739999 "3" "2" "X" "1" "A1" "2X1A1"
"317" 603369.8791 647207.784099999 "4" "3" "X" "1" "A1" "3X1A1"
"318" 603371.78719 647197.96783 "4" "3" "X" "1" "A1" "3X1A1"
"319" 603381.60346 647199.87592 "4" "3" "X" "1" "A1" "3X1A1"
"320" 603379.69537 647209.692189999 "4" "3" "X" "1" "A1" "3X1A1"
"321" 603364.43065 647288.22235 "1" "1" "E" "1" "A1" "1E1A1"
"322" 603374.24692 647290.13044 "1" "1" "E" "1" "A1" "1E1A1"
"323" 603372.33883 647299.94671 "1" "1" "E" "1" "A1" "1E1A1"
"324" 603362.52256 647298.03862 "1" "1" "E" "1" "A1" "1E1A1"
"325" 603366.33874 647278.40608 "2" "4" "E" "1" "A1" "4E1A1"
"326" 603364.43065 647288.22235 "2" "4" "E" "1" "A1" "4E1A1"
"327" 603374.24692 647290.13044 "2" "4" "E" "1" "A1" "4E1A1"
"328" 603376.15501 647280.31417 "2" "4" "E" "1" "A1" "4E1A1"
"329" 603374.24692 647290.13044 "3" "2" "E" "1" "A1" "2E1A1"
"330" 603372.33883 647299.94671 "3" "2" "E" "1" "A1" "2E1A1"
"331" 603382.1551 647301.8548 "3" "2" "E" "1" "A1" "2E1A1"
"332" 603384.06319 647292.03853 "3" "2" "E" "1" "A1" "2E1A1"
"333" 603376.15501 647280.31417 "4" "3" "E" "1" "A1" "3E1A1"
"334" 603385.97128 647282.22226 "4" "3" "E" "1" "A1" "3E1A1"
"335" 603384.06319 647292.03853 "4" "3" "E" "1" "A1" "3E1A1"
"336" 603374.24692 647290.13044 "4" "3" "E" "1" "A1" "3E1A1"
"337" 603368.24683 647268.58981 "1" "1" "F" "1" "A1" "1F1A1"
"338" 603378.0631 647270.4979 "1" "1" "F" "1" "A1" "1F1A1"
"339" 603376.15501 647280.31417 "1" "1" "F" "1" "A1" "1F1A1"
"340" 603366.33874 647278.40608 "1" "1" "F" "1" "A1" "1F1A1"
