"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"249" 604367.803437 648208.30747807 3 3 "P" 1 "A1" "3P1A1"
"250" 604367.816826 648218.435704052 3 3 "P" 1 "A1" "3P1A1"
"251" 604378.0145905 648218.720062107 3 3 "P" 1 "A1" "3P1A1"
"252" 604378.00231725 648208.602521658 3 3 "P" 1 "A1" "3P1A1"
"253" 604367.790048 648198.179252148 1 4 "P" 1 "A1" "4P1A1"
"254" 604367.803437 648208.30747807 1 4 "P" 1 "A1" "4P1A1"
"255" 604378.00231725 648208.602521658 1 4 "P" 1 "A1" "4P1A1"
"256" 604377.990044 648198.48498112 1 4 "P" 1 "A1" "4P1A1"
"257" 604357.590052 648197.873523146 2 1 "Q" 1 "A1" "1Q1A1"
"258" 604357.60455675 648208.012434572 2 1 "Q" 1 "A1" "1Q1A1"
"259" 604367.803437 648208.30747807 2 1 "Q" 1 "A1" "1Q1A1"
"260" 604367.790048 648198.179252148 2 1 "Q" 1 "A1" "1Q1A1"
"261" 604357.60455675 648208.012434572 4 2 "Q" 1 "A1" "2Q1A1"
"262" 604357.6190615 648218.151346058 4 2 "Q" 1 "A1" "2Q1A1"
"263" 604367.816826 648218.435704052 4 2 "Q" 1 "A1" "2Q1A1"
"264" 604367.803437 648208.30747807 4 2 "Q" 1 "A1" "2Q1A1"
"265" 604347.4056765 648207.717391074 3 3 "Q" 1 "A1" "3Q1A1"
"266" 604347.421297 648217.866988063 3 3 "Q" 1 "A1" "3Q1A1"
"267" 604357.6190615 648218.151346058 3 3 "Q" 1 "A1" "3Q1A1"
"268" 604357.60455675 648208.012434572 3 3 "Q" 1 "A1" "3Q1A1"
"269" 604347.390056 648197.567794144 1 4 "Q" 1 "A1" "4Q1A1"
"270" 604347.4056765 648207.717391074 1 4 "Q" 1 "A1" "4Q1A1"
"271" 604357.60455675 648208.012434572 1 4 "Q" 1 "A1" "4Q1A1"
"272" 604357.590052 648197.873523146 1 4 "Q" 1 "A1" "4Q1A1"
"273" 604337.19006 648197.262065083 2 1 "R" 1 "A1" "1R1A1"
"274" 604337.20679625 648207.422347516 2 1 "R" 1 "A1" "1R1A1"
"275" 604347.4056765 648207.717391074 2 1 "R" 1 "A1" "1R1A1"
"276" 604347.390056 648197.567794144 2 1 "R" 1 "A1" "1R1A1"
"277" 604337.20679625 648207.422347516 4 2 "R" 1 "A1" "2R1A1"
"278" 604337.2235325 648217.582630038 4 2 "R" 1 "A1" "2R1A1"
"279" 604347.421297 648217.866988063 4 2 "R" 1 "A1" "2R1A1"
"280" 604347.4056765 648207.717391074 4 2 "R" 1 "A1" "2R1A1"
"281" 604327.007916 648207.127303958 3 3 "R" 1 "A1" "3R1A1"
"282" 604327.025768 648217.298272014 3 3 "R" 1 "A1" "3R1A1"
"283" 604337.2235325 648217.582630038 3 3 "R" 1 "A1" "3R1A1"
"284" 604337.20679625 648207.422347516 3 3 "R" 1 "A1" "3R1A1"
"285" 604326.990064 648196.956336021 1 4 "R" 1 "A1" "4R1A1"
"286" 604327.007916 648207.127303958 1 4 "R" 1 "A1" "4R1A1"
"287" 604337.20679625 648207.422347516 1 4 "R" 1 "A1" "4R1A1"
"288" 604337.19006 648197.262065083 1 4 "R" 1 "A1" "4R1A1"
