"index" "site" "blockN" "blockL" "plot" "sp" "sdlrep" "wl" "origin" "mother" "name" "poss" "x" "y" "ztopo" "per.water.feb" "per.water.mar" "per.water.may" "light" "sand" "time" "mortality" "f.time" "height" "dia" "Tbio" "cdia" "rgr" "flood" "wden"
"100" 1377 "A1" 1 "a" 1 "Spau" 3 "L" NA "Spau1" "Spau3" 36 160 120 24.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 13.0740519871793 2.04 NA NA "Spau"
"101" 1569 "A1" 1 "a" 1 "Pmal" 4 "L" "All" "AllPmal1a" "fPmal4" 37 160 160 25.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 24.9832014184075 2.82 NA NA "Pmal"
"102" 1697 "A1" 1 "a" 1 "Spar" 4 "L" "Mud" "9PSpar2" "cSpar4" 38 160 200 27.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 10.9858353503381 1.87 NA NA "Spar"
"103" 1185 "A1" 1 "a" 1 "Spar" 3 "L" "Mud" "9PSpar2" "cSpar3" 39 160 240 22.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 9.51148591800846 1.74 NA NA "Spar"
"104" 193 "A1" 1 "a" 1 "Sacu" 1 "L" "Mud" "8MSacu2" "aSacu1" 40 160 280 19.9533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 2.71716348608981 0.93 NA NA "Sacu"
"105" 449 "A1" 1 "a" 1 "Sbec" 1 "L" "Mud" "Sbec1" "Sbec1" 41 200 0 23.0533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 13.7227908701456 2.09 NA NA "Sbec"
"106" 641 "A1" 1 "a" 1 "Slep" 2 "L" "Mud" "8PSlep4m" "bSlep2" 42 200 40 28.9533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 82.9996212707809 5.14 NA NA "Slep"
"107" 1921 "A1" 1 "a" 1 "Dry" 4 "L" NA "Dry1" "Dry4" 43 200 80 22.9533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 9.40247265292889 1.73 NA NA "Dry"
"108" 1761 "A1" 1 "a" 1 "Smec" 4 "L" "All" "Smec1" "Smec4" 44 200 120 23.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 92.6295452318297 5.43 NA NA "Smec"
"109" 1729 "A1" 1 "a" 1 "Sacu" 4 "L" "Mud" "9OSacu3" "bSacu4" 45 200 160 27.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 5.9828490494964 1.38 NA NA "Sacu"
"110" 1217 "A1" 1 "a" 1 "Sacu" 3 "L" "Mud" "9OSacu3" "bSacu3" 46 200 200 25.7533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 3.80132711084365 1.1 NA NA "Sacu"
